"date","geography","geography code","Household composition: Total; measures: Value","Household composition: One person household; measures: Value","Household composition: One person household: Aged 66 years and over; measures: Value","Household composition: One person household: Other; measures: Value","Household composition: Single family household; measures: Value","Household composition: Single family household: All aged 66 years and over; measures: Value","Household composition: Single family household: Married or civil partnership couple; measures: Value","Household composition: Single family household: Married or civil partnership couple: No children; measures: Value","Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value","Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value","Household composition: Single family household: Cohabiting couple family; measures: Value","Household composition: Single family household: Cohabiting couple family: No children; measures: Value","Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value","Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value","Household composition: Single family household: Lone parent family; measures: Value","Household composition: Single family household: Lone parent family: With dependent children; measures: Value","Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value","Household composition: Single family household: Other single family household; measures: Value","Household composition: Single family household: Other single family household: Other family composition; measures: Value","Household composition: Other household types; measures: Value","Household composition: Other household types: With dependent children; measures: Value","Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value"
"2021","Medway","E06000035",111459,30462,13132,17330,73294,9113,35051,10985,16923,7143,14489,6699,6655,1135,13930,8657,5273,711,711,7703,3721,3982
"2021","Milton Keynes","E06000042",113102,29795,10980,18815,74485,7842,38321,11704,20448,6169,13250,7059,5382,809,14109,9519,4590,963,963,8822,4026,4796
"2021","Portsmouth","E06000044",86155,27607,10673,16934,50067,5437,22594,7893,10731,3970,11115,6218,4241,656,10030,6513,3517,891,891,8481,2221,6260
"2021","Reading","E06000038",67683,19262,6230,13032,40381,3643,20242,6024,11045,3173,8297,5371,2501,425,7361,4624,2737,838,838,8040,2570,5470
"2021","Slough","E06000039",52421,11948,3838,8110,33308,1819,19807,3775,12606,3426,3885,1752,1823,310,7156,4429,2727,641,641,7165,4298,2867
"2021","Southampton","E06000045",102291,33711,11453,22258,58597,6180,26737,9179,13259,4299,13337,8068,4604,665,11270,7366,3904,1073,1073,9983,2661,7322
"2021","West Berkshire","E06000037",66658,18008,8321,9687,45249,7183,24582,8439,11836,4307,7436,4261,2804,371,5720,3498,2222,328,328,3401,1232,2169
"2021","Windsor and Maidenhead","E06000040",60933,16715,7610,9105,40088,5821,22591,6670,12012,3909,5963,3552,2034,377,5345,3057,2288,368,368,4130,1723,2407
"2021","Wokingham","E06000041",69164,16265,7644,8621,49188,7081,28973,8144,16326,4503,7246,4320,2543,383,5551,3385,2166,337,337,3711,1549,2162
"2021","Buckinghamshire","E06000060",220329,57889,27090,30799,149363,22853,82484,24980,43427,14077,22824,12793,8692,1339,19904,11950,7954,1298,1298,13077,5821,7256
"2021","East Sussex","E10000011",240122,76643,41304,35339,150000,30821,68878,27220,28874,12784,25754,13635,10388,1731,23485,14343,9142,1062,1062,13479,5084,8395
"2021","Hampshire","E10000014",587693,161702,81035,80667,395080,69881,204053,74063,94132,35858,66054,37008,25199,3847,52449,31788,20661,2643,2643,30911,11561,19350
"2021","Kent","E10000016",648393,183814,88583,95231,424313,68839,206230,70051,97919,38260,77383,39074,32973,5336,68351,42626,25725,3510,3510,40266,17028,23238
"2021","Oxfordshire","E10000025",288108,78183,35052,43131,188565,28324,98723,33875,48778,16070,34090,20299,12001,1790,25461,15511,9950,1967,1967,21360,6411,14949
"2021","Surrey","E10000030",481817,130426,62879,67547,321202,48594,177876,52136,95361,30379,49512,28571,18046,2895,42562,25206,17356,2658,2658,30189,11051,19138
"2021","West Sussex","E10000032",375216,111259,57408,53851,242134,44505,119115,41925,56157,21033,42124,23200,16454,2470,34360,20505,13855,2030,2030,21823,7871,13952
"2021","Bath and North East Somerset","E06000022",79250,23077,10781,12296,49584,8279,24740,8502,11872,4366,9278,5599,3214,465,6763,4088,2675,524,524,6589,1231,5358
"2021","Bristol, City of","E06000023",191638,57862,19697,38165,110132,10952,48404,15274,25372,7758,28890,19251,8445,1194,19819,12683,7136,2067,2067,23644,4608,19036
"2021","Cornwall","E06000052",250534,76862,39567,37295,158979,31464,73914,31653,29102,13159,29226,15581,11940,1705,23276,14263,9013,1099,1099,14693,4938,9755
"2021","Isles of Scilly","E06000053",942,307,162,145,563,132,275,147,110,18,101,77,21,3,53,32,21,2,2,72,20,52
"2021","North Somerset","E06000024",94648,29089,14451,14638,61026,11995,29709,10802,13892,5015,10513,5770,4162,581,8426,5468,2958,383,383,4533,1727,2806
"2021","Plymouth","E06000026",114560,37337,15083,22254,69889,9997,31422,12129,13830,5463,15119,8234,6043,842,12706,8153,4553,645,645,7334,2059,5275
"2021","Bournemouth, Christchurch and Poole","E06000058",173842,56531,26581,29950,103961,18113,48783,17892,22724,8167,19512,11692,6834,986,16306,9964,6342,1247,1247,13350,3754,9596
"2021","South Gloucestershire","E06000025",118101,30747,14375,16372,80156,12635,40524,13233,19480,7811,15239,8633,5712,894,11102,6955,4147,656,656,7198,2368,4830
"2021","Swindon","E06000030",95861,27218,10546,16672,62195,7777,32304,10851,15932,5521,11736,6378,4679,679,9700,6273,3427,678,678,6448,3089,3359
"2021","Torbay","E06000027",62997,21884,11086,10798,37376,7636,16284,6956,6270,3058,6725,3531,2757,437,6417,3971,2446,314,314,3737,1426,2311
"2021","Wiltshire","E06000054",215081,60574,29804,30770,144557,25704,75587,28617,34340,12630,23637,13168,9077,1392,18794,11460,7334,835,835,9950,3682,6268
"2021","Devon","E10000008",352620,107229,56485,50744,225274,47961,107225,44965,44066,18194,39199,22013,14986,2200,29510,17825,11685,1379,1379,20117,6231,13886
"2021","Dorset","E06000059",169261,51741,29714,22027,109832,27077,51800,22359,20023,9418,16641,9235,6412,994,13734,8173,5561,580,580,7688,2721,4967
"2021","Gloucestershire","E10000013",279429,84836,39197,45639,180868,31624,89412,34109,40188,15115,33493,19263,12366,1864,25040,15309,9731,1299,1299,13725,4572,9153
"2021","Somerset","E10000027",250123,76028,38800,37228,161924,32777,76652,31471,31680,13501,29196,15532,11871,1793,22187,13838,8349,1112,1112,12171,4486,7685
"2021","Isle of Anglesey","W06000001",30823,10189,5223,4966,19438,3901,8642,3604,3175,1863,3296,1460,1627,209,3466,2087,1379,133,133,1196,512,684
"2021","Gwynedd","W06000002",51107,17664,8472,9192,30661,5354,13494,5437,5162,2895,6192,2922,2900,370,5348,3202,2146,273,273,2782,846,1936
"2021","Conwy","W06000003",52237,17909,9318,8591,32089,6674,14067,5945,5231,2891,5433,2715,2348,370,5698,3504,2194,217,217,2239,927,1312
"2021","Denbighshire","W06000004",42389,14107,6982,7125,26437,5027,11500,4627,4486,2387,4586,2136,2104,346,5124,3235,1889,200,200,1845,840,1005
"2021","Flintshire","W06000005",66911,19471,9639,9832,44660,7314,21092,7771,8850,4471,8158,4126,3494,538,7718,4706,3012,378,378,2780,1256,1524
"2021","Wrexham","W06000006",57914,17662,8042,9620,37799,5723,17048,6354,7039,3655,7265,3343,3431,491,7405,4887,2518,358,358,2453,1075,1378
"2021","Powys","W06000023",60182,19841,10468,9373,37836,8223,17750,7725,6516,3509,6644,3373,2857,414,4962,2843,2119,257,257,2505,958,1547
"2021","Ceredigion","W06000008",30895,10202,5102,5100,18649,3956,8475,3784,3034,1657,3381,1864,1346,171,2674,1525,1149,163,163,2044,519,1525
"2021","Pembrokeshire","W06000009",55488,18507,9289,9218,34588,6977,15683,6703,5839,3141,5720,2815,2536,369,5966,3855,2111,242,242,2393,1022,1371
"2021","Carmarthenshire","W06000010",81763,25350,12569,12781,52512,9525,24720,9851,9692,5177,8874,4218,4088,568,8986,5374,3612,407,407,3901,1684,2217
"2021","Swansea","W06000011",104961,36154,15259,20895,62927,10017,28088,9823,12309,5956,10904,5656,4540,708,13217,8371,4846,701,701,5880,1731,4149
"2021","Neath Port Talbot","W06000012",62374,20368,9034,11334,39549,6145,17666,6516,6960,4190,6731,3084,3116,531,8651,5429,3222,356,356,2457,1151,1306
"2021","Bridgend","W06000013",62360,18664,8535,10129,41059,6504,18986,7043,7800,4143,7487,3586,3378,523,7754,4766,2988,328,328,2637,1206,1431
"2021","Vale of Glamorgan","W06000014",57450,17841,8491,9350,37148,6151,17926,6460,8012,3454,6247,3129,2708,410,6582,4270,2312,242,242,2461,1090,1371
"2021","Cardiff","W06000015",147334,47463,16526,30937,86631,9890,39597,12263,20101,7233,17536,10999,5615,922,18168,12157,6011,1440,1440,13240,3363,9877
"2021","Rhondda Cynon Taff","W06000016",103340,32170,14049,18121,66700,9551,29263,10733,11799,6731,13273,5869,6349,1055,14028,9103,4925,585,585,4470,1971,2499
"2021","Merthyr Tydfil","W06000024",25781,8258,3464,4794,16477,2138,7150,2635,2730,1785,3082,1257,1572,253,3851,2548,1303,256,256,1046,560,486
"2021","Caerphilly","W06000018",76258,22966,10510,12456,50282,7422,22569,8302,9070,5197,9592,4213,4602,777,10333,6513,3820,366,366,3010,1479,1531
"2021","Blaenau Gwent","W06000019",30341,10175,4361,5814,19113,2612,8082,3130,2888,2064,3868,1642,1875,351,4372,2715,1657,179,179,1053,518,535
"2021","Torfaen","W06000020",40241,12316,5694,6622,26294,4003,11734,4384,4683,2667,5057,2311,2366,380,5307,3456,1851,193,193,1631,750,881
"2021","Monmouthshire","W06000021",40922,12287,6534,5753,26996,5583,13363,5309,5379,2675,4126,2235,1654,237,3771,2281,1490,153,153,1639,689,950
"2021","Newport","W06000022",66054,19997,8495,11502,42263,5325,19807,6611,9265,3931,8198,4147,3433,618,8455,5447,3008,478,478,3794,1930,1864
