"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
"2021","Swansea","W06000011",238490,225123,216019,8089,3521,3076,1296,196,1015,1015,3120,8685,1167,360,35
"2021","Neath Port Talbot","W06000012",142289,139599,137115,2219,1169,626,334,90,265,265,554,1675,339,109,13
"2021","Bridgend","W06000013",145487,142521,139225,3049,1337,1206,378,128,247,247,717,1704,370,164,11
"2021","Vale of Glamorgan","W06000014",131939,127726,124315,3047,2086,565,203,193,364,364,967,2275,669,281,21
"2021","Cardiff","W06000015",362308,322003,302460,17525,9444,5522,2003,556,2018,2018,10675,25712,3087,768,63
"2021","Rhondda Cynon Taff","W06000016",237649,232894,228753,3748,1891,1255,388,214,393,393,1247,2795,495,203,15
"2021","Caerphilly","W06000018",175948,173639,170772,2618,1336,921,245,116,249,249,516,1267,335,182,9
"2021","Blaenau Gwent","W06000019",66900,66112,64757,1232,364,712,129,27,123,123,192,466,85,42,3
"2021","Torfaen","W06000020",92276,90551,88990,1410,776,483,106,45,151,151,383,1065,177,95,5
"2021","Monmouthshire","W06000021",92958,90229,87843,2152,1322,542,200,88,234,234,743,1219,524,234,9
"2021","Newport","W06000022",159594,148759,140174,7920,2399,4044,1313,164,665,665,2886,6938,821,163,27
"2021","Powys","W06000023",133168,130107,126711,3160,1556,1106,405,93,236,236,737,1452,533,327,12
"2021","Merthyr Tydfil","W06000024",58839,57756,55553,2125,561,1284,255,25,78,78,168,755,127,32,1
