"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
"2021","Brent","E09000005",339815,209997,149239,55082,23869,11099,19184,930,5676,5676,33502,76536,18013,1535,232
"2021","Bromley","E09000006",329992,289600,263052,21790,11485,5471,3634,1200,4758,4758,12609,18632,7463,1598,90
"2021","Croydon","E09000008",390720,296528,254536,36714,17266,11355,7074,1019,5278,5278,33692,38973,20180,1129,218
"2021","Ealing","E09000009",367115,243540,180561,54853,23804,22930,7005,1114,8126,8126,24615,84828,11705,2205,222
"2021","Enfield","E09000010",329984,271721,196824,48917,14935,8750,15076,10156,25980,25980,27252,19641,10271,656,443
"2021","Greenwich","E09000011",289067,219846,180578,32282,15484,8651,7037,1110,6986,6986,30191,27892,9498,1526,114
"2021","Harrow","E09000015",261203,169289,127612,38141,10462,5397,21821,461,3536,3536,26748,59517,4985,545,119
"2021","Havering","E09000016",262051,234186,211166,18202,5345,5684,6564,609,4818,4818,10377,14233,2777,365,113
"2021","Hillingdon","E09000017",305909,221188,188260,28409,12342,9021,6533,513,4519,4519,18523,60435,4955,687,121
"2021","Hounslow","E09000018",288176,188571,145556,36146,13377,14744,7403,622,6869,6869,19197,73070,5867,1374,97
"2021","Kingston upon Thames","E09000021",168066,132294,111412,17191,9336,4429,2981,445,3691,3691,6771,23722,4079,1130,70
"2021","Merton","E09000024",215185,162015,127245,29973,13923,9404,6086,560,4797,4797,15107,26474,9640,1858,91
"2021","Redbridge","E09000026",310260,216641,174963,32557,11089,7001,13531,936,9121,9121,17331,70360,5132,579,217
"2021","Richmond upon Thames","E09000027",195278,164595,139053,20012,13387,4381,1707,537,5530,5530,6823,14039,6971,2788,62
"2021","Sutton","E09000029",209636,171810,151447,16998,7397,5096,4121,384,3365,3365,9215,24124,3779,661,47
"2021","Waltham Forest","E09000031",278429,223314,171070,41633,12851,10869,16453,1460,10611,10611,16683,25839,10586,1558,449
"2021","Bracknell Forest","E06000036",124607,112260,102964,7810,3406,2849,1303,252,1486,1486,3963,6462,1495,395,32
"2021","Brighton and Hove","E06000043",277103,249433,222760,23104,15099,5690,1743,572,3569,3569,7863,12517,5326,1759,205
"2021","Isle of Wight","E06000046",140459,136283,131851,3964,2387,930,446,201,468,468,1186,1804,802,350,34
"2021","Medway","E06000035",279773,258295,241119,15239,5344,5619,3696,580,1937,1937,8764,9945,2270,443,56
"2021","Milton Keynes","E06000042",287060,241450,213215,25718,9816,8604,6870,428,2517,2517,19244,22004,3639,600,123
"2021","Portsmouth","E06000044",208003,188936,172763,14731,5198,4901,3986,646,1442,1442,5515,10925,2012,463,152
"2021","Reading","E06000038",174225,138571,115894,19722,8215,7017,3996,494,2955,2955,8045,23085,3857,582,85
"2021","Slough","E06000039",158500,109302,88806,19042,5019,10006,3876,141,1454,1454,8662,38461,1633,161,281
"2021","Southampton","E06000045",248921,219770,188823,28800,8526,14912,4821,541,2147,2147,6819,18768,2758,614,192
"2021","West Berkshire","E06000037",161447,150764,141996,7953,3879,2605,1253,216,815,815,3204,5024,1809,587,59
"2021","Windsor and Maidenhead","E06000040",153496,133776,120245,11801,6967,3354,1203,277,1730,1730,4861,10805,2879,1095,80
"2021","Wokingham","E06000041",177502,154676,143891,9211,4925,2468,1538,280,1574,1574,5656,14264,2173,683,50
"2021","Buckinghamshire","E06000060",553078,495731,461030,31546,14538,9653,6526,829,3155,3155,13385,33538,7994,2311,119
"2021","East Sussex","E10000011",545847,519010,492025,23890,13253,6525,3254,858,3095,3095,7912,11924,5018,1832,151
"2021","Hampshire","E10000014",1400899,1313957,1250772,56887,29168,16549,8306,2864,6298,6298,23107,47444,11182,4677,532
"2021","Kent","E10000016",1576069,1471334,1381983,79497,32406,28175,16300,2616,9854,9854,33499,54006,12185,4646,399
"2021","Oxfordshire","E10000025",725291,652215,589576,55079,28736,16384,8470,1489,7560,7560,16272,36324,16239,4005,236
"2021","Surrey","E10000030",1203111,1072857,987483,74702,41570,19591,11400,2141,10672,10672,37925,65441,19737,6800,351
"2021","West Sussex","E10000032",882676,824221,768754,49997,22263,17927,8655,1152,5470,5470,18569,28123,8480,2942,341
"2021","Bath and North East Somerset","E06000022",193409,181395,170090,10080,5782,2549,1430,319,1225,1225,2754,6039,2257,895,69
"2021","Bristol, City of","E06000023",472465,424042,383497,37251,18316,13152,5055,728,3294,3294,14888,22438,9117,1813,167
"2021","Cornwall","E06000052",570305,556690,540148,15227,8128,4558,1821,720,1315,1315,4018,5165,2798,1502,132
"2021","Isles of Scilly","E06000053",2053,2019,1940,72,29,30,12,1,7,7,11,8,10,5,0
"2021","North Somerset","E06000024",216731,209519,198533,10174,3734,3999,2058,383,812,812,2336,3084,1240,506,46
"2021","Plymouth","E06000026",264695,253301,240345,12000,4604,4585,2079,732,956,956,3036,6235,1510,518,95
"2021","Bournemouth, Christchurch and Poole","E06000058",400196,372146,338248,30160,12620,12098,4883,559,3738,3738,7173,13000,6623,1116,138
"2021","South Gloucestershire","E06000025",290424,274565,259756,13490,5105,5411,2663,311,1319,1319,4356,8488,2365,561,89
"2021","Swindon","E06000030",233408,201634,185756,14275,5668,5600,2698,309,1603,1603,5090,21939,3942,465,338
"2021","Torbay","E06000027",139321,135005,129424,5093,2212,2030,647,204,488,488,1113,2282,624,271,26
"2021","Wiltshire","E06000054",510333,484417,459802,22807,12965,6153,2615,1074,1808,1808,7249,11453,4325,2678,211
"2021","Devon","E10000008",811639,782492,753788,25797,13512,7708,3484,1093,2907,2907,7663,13795,5099,2422,168
"2021","Dorset","E06000059",379579,367155,354852,11242,6803,2713,1179,547,1061,1061,3645,5315,2264,1109,91
"2021","Gloucestershire","E10000013",645076,613110,580562,30093,12706,11405,4907,1075,2455,2455,9032,14723,5801,2198,212
"2021","Somerset","E10000027",571548,551410,522751,26772,10567,10528,4939,738,1887,1887,5401,9603,3423,1584,127
"2021","Isle of Anglesey","W06000001",68880,67862,66583,1137,838,168,73,58,142,142,258,480,186,86,8
"2021","Gwynedd","W06000002",117392,114003,111034,2699,1425,822,383,69,270,270,665,1986,529,196,13
"2021","Conwy","W06000003",114741,111976,108801,2885,1760,781,261,83,290,290,621,1459,470,205,10
"2021","Denbighshire","W06000004",95817,93382,91306,1843,1044,558,188,53,233,233,481,1532,266,149,7
"2021","Flintshire","W06000005",154962,152279,144952,6981,1908,3227,1707,139,346,346,706,1350,424,197,6
"2021","Wrexham","W06000006",135119,131712,124476,6815,1881,3812,1018,104,421,421,971,1959,334,136,7
"2021","Powys","W06000023",133168,130107,126711,3160,1556,1106,405,93,236,236,737,1452,533,327,12
"2021","Ceredigion","W06000008",71475,69227,66430,2544,1111,1152,215,66,253,253,530,1124,420,164,10
"2021","Pembrokeshire","W06000009",123360,120739,117408,3034,1940,669,276,149,297,297,651,1282,478,192,18
"2021","Carmarthenshire","W06000010",187897,184002,178385,5239,1924,2699,498,118,378,378,933,2148,539,259,16
"2021","Swansea","W06000011",238490,225123,216019,8089,3521,3076,1296,196,1015,1015,3120,8685,1167,360,35
"2021","Neath Port Talbot","W06000012",142289,139599,137115,2219,1169,626,334,90,265,265,554,1675,339,109,13
"2021","Bridgend","W06000013",145487,142521,139225,3049,1337,1206,378,128,247,247,717,1704,370,164,11
"2021","Vale of Glamorgan","W06000014",131939,127726,124315,3047,2086,565,203,193,364,364,967,2275,669,281,21
"2021","Cardiff","W06000015",362308,322003,302460,17525,9444,5522,2003,556,2018,2018,10675,25712,3087,768,63
"2021","Rhondda Cynon Taff","W06000016",237649,232894,228753,3748,1891,1255,388,214,393,393,1247,2795,495,203,15
"2021","Merthyr Tydfil","W06000024",58839,57756,55553,2125,561,1284,255,25,78,78,168,755,127,32,1
"2021","Caerphilly","W06000018",175948,173639,170772,2618,1336,921,245,116,249,249,516,1267,335,182,9
"2021","Blaenau Gwent","W06000019",66900,66112,64757,1232,364,712,129,27,123,123,192,466,85,42,3
"2021","Torfaen","W06000020",92276,90551,88990,1410,776,483,106,45,151,151,383,1065,177,95,5
"2021","Monmouthshire","W06000021",92958,90229,87843,2152,1322,542,200,88,234,234,743,1219,524,234,9
"2021","Newport","W06000022",159594,148759,140174,7920,2399,4044,1313,164,665,665,2886,6938,821,163,27
